# Effective area of AMEGO [arXiv:2010.04797]

nb_lines = 111

E(GeV)	   A_eff(cm^2)
1.58191e-4 1.74630e+1
1.58191e-4 1.52412e+1
1.58191e-4 1.33021e+1
1.58191e-4 1.16097e+1
1.58191e-4 1.03224e+1
1.58987e-4 2.10562e+1
1.59786e-4 4.10046e+1
1.60268e-4 2.57525e+1
1.60590e-4 3.45906e+1
1.62210e-4 4.78250e+1
1.64212e-4 6.15933e+1
1.66054e-4 7.69029e+1
1.67168e-4 8.99491e+1
1.68572e-4 1.05861e+2
1.72278e-4 1.28369e+2
1.75771e-4 1.60033e+2
1.80366e-4 1.91814e+2
1.82971e-4 2.24685e+2
1.88563e-4 2.68553e+2
1.94327e-4 3.14436e+2
2.01274e-4 3.69965e+2
2.09519e-4 4.35861e+2
2.18954e-4 5.09059e+2
2.27035e-4 5.85562e+2
2.37523e-4 6.87547e+2
2.49746e-4 7.83816e+2
2.63920e-4 9.03650e+2
2.80300e-4 1.04503e+3
2.97698e-4 1.18999e+3
3.19364e-4 1.36874e+3
3.47804e-4 1.56168e+3
3.82597e-4 1.78221e+3
4.22988e-4 2.03949e+3
4.69995e-4 2.32814e+3
5.24854e-4 2.63621e+3
5.86116e-4 2.74513e+3
6.54528e-4 2.80285e+3
7.30926e-4 2.87306e+3
8.16241e-4 2.94835e+3
9.11514e-4 3.03413e+3
1.01791e-3 3.12240e+3
1.13672e-3 3.14001e+3
1.26940e-3 3.13295e+3
1.41757e-3 3.13295e+3
1.58303e-3 3.10838e+3
1.73267e-3 2.93464e+3
1.84021e-3 2.51374e+3
1.92201e-3 2.12477e+3
2.00265e-3 1.81624e+3
2.05501e-3 1.58264e+3
2.11782e-3 1.36346e+3
2.16076e-3 1.14410e+3
2.20826e-3 9.77298e+2
2.24926e-3 8.24540e+2
2.26870e-3 6.98138e+2
2.31802e-3 5.56061e+2
2.39745e-3 4.40362e+2
2.69461e-3 4.56333e+2
3.00913e-3 4.84360e+2
3.36036e-3 4.88463e+2
3.75259e-3 4.70932e+2
4.22344e-3 4.52613e+2
4.67973e-3 4.31866e+2
5.22596e-3 4.08941e+2
5.83594e-3 3.84412e+2
6.51712e-3 3.57314e+2
7.27781e-3 3.27121e+2
8.12729e-3 2.93478e+2
8.98530e-3 2.59214e+2
9.78545e-3 2.27482e+2
1.03928e-2 2.08612e+2
1.29931e-2 2.40877e+2
1.46928e-2 2.61818e+2
1.64078e-2 2.83422e+2
1.83230e-2 3.08019e+2
2.04616e-2 3.35504e+2
2.28500e-2 3.65442e+2
2.55171e-2 3.98275e+2
2.84954e-2 4.35524e+2
3.18215e-2 4.75455e+2
3.55357e-2 5.03523e+2
3.96835e-2 5.29959e+2
4.44268e-2 5.60811e+2
4.94881e-2 5.89716e+2
5.52644e-2 6.18054e+2
6.15824e-2 6.47994e+2
6.86529e-2 6.78582e+2
7.77390e-2 7.04788e+2
8.68129e-2 7.39708e+2
9.54973e-2 7.71192e+2
1.09353e-1 8.12996e+2
1.22117e-1 8.30088e+2
1.36371e-1 8.48016e+2
1.52289e-1 8.66819e+2
1.70064e-1 8.83551e+2
1.89914e-1 8.87036e+2
2.12081e-1 8.92539e+2
2.36836e-1 8.98077e+2
2.64480e-1 8.98077e+2
2.95350e-1 8.98077e+2
3.29824e-1 8.98077e+2
3.68322e-1 8.98077e+2
4.11313e-1 8.98077e+2
4.59322e-1 8.98077e+2
5.13279e-1 9.18616e+2
5.71371e-1 8.92693e+2
6.39665e-1 8.80443e+2
7.14328e-1 8.60796e+2
7.97705e-1 8.43609e+2
8.90815e-1 8.20805e+2
9.88820e-1 8.03744e+2
