# Effective area of AS-ASTROGRAM [arXiv:2104.06168]

nb_lines = 69

E(GeV)	   A_eff(cm^2)
3.19542e-4 5.49489e+1
3.56689e-4 5.38347e+1
3.98155e-4 5.12635e+1
4.44440e-4 5.01571e+1
4.96107e-4 4.91142e+1
5.53779e-4 4.79642e+1
6.18156e-4 4.69147e+1
6.93129e-4 4.45279e+1
7.93684e-4 4.02464e+1
8.85950e-4 3.73795e+1
9.88942e-4 3.45216e+1
1.10833e-3 3.26914e+1
1.23224e-3 2.90322e+1
1.37548e-3 2.60963e+1
1.52773e-3 2.29429e+1
1.67157e-3 2.00215e+1
1.79274e-3 1.75663e+1
1.90357e-3 1.52931e+1
2.06380e-3 1.31499e+1
2.31333e-3 1.28710e+1
2.58226e-3 1.27842e+1
2.88966e-3 1.27087e+1
3.21753e-3 1.25413e+1
3.59157e-3 1.23936e+1
4.00910e-3 1.22892e+1
4.47515e-3 1.20966e+1
4.99539e-3 1.20421e+1
5.57611e-3 1.32991e+1
6.22434e-3 1.49463e+1
6.94792e-3 1.68545e+1
7.82865e-3 1.80521e+1
8.38343e-3 2.11430e+1
1.03987e-2 2.60982e+1
1.16852e-2 3.00148e+1
1.30436e-2 3.40382e+1
1.42480e-2 3.82717e+1
1.60374e-2 4.18252e+1
1.77828e-2 4.89206e+1
1.98500e-2 5.53221e+1
2.21576e-2 6.25260e+1
2.47334e-2 7.04689e+1
2.76087e-2 7.95104e+1
3.10323e-2 8.60256e+1
3.43722e-2 9.25584e+1
3.84000e-2 9.97489e+1
4.27303e-2 1.05124e+2
4.78470e-2 1.14404e+2
5.34092e-2 1.27418e+2
5.96180e-2 1.45644e+2
6.65487e-2 1.65915e+2
7.42850e-2 1.77936e+2
8.29207e-2 1.81996e+2
9.29466e-2 1.85756e+2
1.04127e-1 1.92437e+2
1.15331e-1 1.96176e+2
1.28739e-1 2.01333e+2
1.43705e-1 2.06976e+2
1.60410e-1 2.13618e+2
1.79058e-1 2.20847e+2
1.99874e-1 2.29095e+2
2.23109e-1 2.38054e+2
2.49046e-1 2.48061e+2
2.77535e-1 2.60907e+2
3.10315e-1 2.60245e+2
3.46389e-1 2.41707e+2
3.86657e-1 2.20598e+2
4.31606e-1 1.97397e+2
4.72243e-1 1.75472e+2
4.93974e-1 1.58326e+2
