# Effective area of AdEPT [arXiv:2010.04797]

nb_lines = 25

E(GeV)	   A_eff(cm^2)
3.13802e-3 5.56370e+1
3.65856e-3 7.09894e+1
4.30196e-3 8.77098e+1
5.01556e-3 1.06816e+2
5.74866e-3 1.28902e+2
7.94840e-3 1.55951e+2
9.58837e-3 1.84117e+2
1.15273e-2 2.12479e+2
1.46856e-2 2.50948e+2
1.77157e-2 2.82772e+2
2.13709e-2 3.16262e+2
2.57803e-2 3.43317e+2
3.10995e-2 3.72338e+2
3.75162e-2 3.94874e+2
4.52568e-2 4.12955e+2
5.45946e-2 4.36725e+2
6.58589e-2 4.59714e+2
7.94474e-2 4.85270e+2
9.31541e-2 5.07727e+2
1.15614e-1 5.43249e+2
1.39468e-1 5.70780e+2
1.68244e-1 5.86978e+2
2.02958e-1 6.01948e+2
2.44834e-1 6.17877e+2
2.80620e-1 6.00154e+2
