# Effective area of GECCO [arXiv:2010.04797]

nb_lines = 28

E(GeV)	   A_eff(cm^2)
1.11921e-4 5.85884e+2
1.35072e-4 5.96916e+2
1.63013e-4 6.14428e+2
1.96733e-4 6.22892e+2
2.37718e-4 6.57956e+2
2.74302e-4 6.85206e+2
3.28528e-4 7.11993e+2
3.96485e-4 7.51572e+2
4.78500e-4 7.98549e+2
5.77481e-4 8.55615e+2
6.96935e-4 9.11642e+2
8.41100e-4 9.49835e+2
1.01509e-3 9.78614e+2
1.22506e-3 9.65917e+2
1.47847e-3 9.46298e+2
1.78430e-3 9.21903e+2
2.15339e-3 9.03652e+2
2.45063e-3 8.42118e+2
2.83070e-3 7.19335e+2
3.27894e-3 6.13100e+2
3.82858e-3 4.75376e+2
4.28254e-3 4.09204e+2
4.56745e-3 3.24485e+2
4.86642e-3 2.61950e+2
5.49224e-3 2.09020e+2
6.37523e-3 1.71337e+2
7.18552e-3 1.36075e+2
7.89379e-3 1.07507e+2
