# Effective area of GRAMS [arXiv:2010.04797]

nb_lines = 49

E(GeV)	   A_eff(cm^2)
1.16459e-4 1.13937e+1
1.25488e-4 1.47337e+1
1.35473e-4 1.88283e+1
1.45013e-4 2.36609e+1
1.59237e-4 3.02674e+1
1.77858e-4 3.84546e+1
2.07286e-4 4.82825e+1
2.49947e-4 4.96990e+1
3.01386e-4 4.96064e+1
3.63412e-4 4.91917e+1
4.38203e-4 4.91917e+1
5.28387e-4 4.88716e+1
6.37130e-4 4.86896e+1
7.68253e-4 4.86442e+1
9.26362e-4 4.81926e+1
1.12496e-3 4.69052e+1
1.44174e-3 4.62516e+1
1.73846e-3 4.68627e+1
2.09624e-3 4.70274e+1
2.56810e-3 4.48031e+1
3.03967e-3 4.32121e+1
3.67510e-3 3.75682e+1
4.43144e-3 3.37156e+1
5.34344e-3 3.00611e+1
6.44314e-3 2.73584e+1
7.76915e-3 2.42342e+1
9.57961e-3 2.14956e+1
1.02745e-2 3.02378e+1
1.03749e-2 2.07773e+1
1.05529e-2 3.97925e+1
1.07746e-2 6.49679e+1
1.11766e-2 9.37697e+1
1.14899e-2 1.25996e+2
1.21800e-2 1.69247e+2
1.28490e-2 2.19057e+2
1.38545e-2 2.87882e+2
1.51782e-2 3.71298e+2
1.61469e-2 4.66279e+2
1.77308e-2 5.84156e+2
1.98041e-2 7.31905e+2
2.28854e-2 9.14026e+2
2.71298e-2 1.14784e+3
3.24361e-2 1.43851e+3
3.91115e-2 1.80279e+3
4.71608e-2 2.24043e+3
5.68666e-2 2.37160e+3
6.85698e-2 2.29115e+3
8.26817e-2 2.19697e+3
9.71857e-2 2.00272e+3
