# Effective area of MAST [arXiv:1902.01491]

nb_lines = 51

E(GeV)	   A_eff(cm^2)
1.15029e-2 6.82226e+4
1.47771e-2 7.63730e+4
1.89833e-2 8.38827e+4
2.43868e-2 9.07364e+4
3.13283e-2 9.67383e+4
4.02456e-2 1.01964e+5
5.17013e-2 1.06819e+5
6.64176e-2 1.10717e+5
8.53229e-2 1.14233e+5
1.09609e-1 1.17233e+5
1.40809e-1 1.19946e+5
1.80889e-1 1.22534e+5
2.32378e-1 1.24133e+5
2.98523e-1 1.26137e+5
3.83495e-1 1.26812e+5
4.92654e-1 1.28859e+5
6.32884e-1 1.28859e+5
8.13030e-1 1.30640e+5
1.04445e+0 1.31039e+5
1.34175e+0 1.31039e+5
1.72367e+0 1.31039e+5
2.21430e+0 1.31740e+5
2.84458e+0 1.32142e+5
3.65427e+0 1.32142e+5
4.69443e+0 1.32142e+5
6.03066e+0 1.32142e+5
7.74725e+0 1.32142e+5
9.95244e+0 1.32142e+5
1.27853e+1 1.32142e+5
1.64246e+1 1.32142e+5
2.10997e+1 1.32142e+5
2.71056e+1 1.32142e+5
3.48210e+1 1.32142e+5
4.47325e+1 1.32142e+5
5.74653e+1 1.32142e+5
7.38224e+1 1.32142e+5
9.48354e+1 1.32142e+5
1.21830e+2 1.32142e+5
1.56508e+2 1.32142e+5
2.01056e+2 1.32142e+5
2.58285e+2 1.32142e+5
3.31804e+2 1.32142e+5
4.26250e+2 1.32142e+5
5.47579e+2 1.32142e+5
7.03443e+2 1.32142e+5
9.03673e+2 1.32142e+5
1.16090e+3 1.32142e+5
1.49134e+3 1.32142e+5
1.91584e+3 1.32142e+5
2.46116e+3 1.32142e+5
2.97544e+3 1.33815e+5
