# Effective area of PANGU [arXiv:2010.04797]

nb_lines = 27

E(GeV)	   A_eff(cm^2)
1.05555e-2 1.73090e+1
1.23109e-2 2.25033e+1
1.46056e-2 2.84780e+1
1.65621e-2 3.53596e+1
1.93008e-2 3.99648e+1
2.31711e-2 4.79683e+1
2.82599e-2 5.15908e+1
3.32904e-2 5.96914e+1
3.74478e-2 6.56393e+1
4.28118e-2 6.87788e+1
4.73409e-2 7.83780e+1
5.54025e-2 8.14030e+1
6.68628e-2 8.69765e+1
8.06938e-2 9.35404e+1
9.46505e-2 9.96811e+1
1.17530e-1 1.06688e+2
1.41842e-1 1.11158e+2
1.71183e-1 1.16682e+2
2.06593e-1 1.22139e+2
2.49328e-1 1.26192e+2
3.00902e-1 1.29532e+2
3.63146e-1 1.33332e+2
4.38264e-1 1.37243e+2
5.28921e-1 1.40875e+2
6.38331e-1 1.44199e+2
7.70373e-1 1.47463e+2
9.21817e-1 1.50520e+2
