# Effective area of XGIS-THESEUS [arXiv:2110.03333]

nb_lines = 35

E(GeV)	   A_eff(cm^2)
2.08898e-5 3.76119e+2
2.46999e-5 4.55750e+2
2.94387e-5 5.25989e+2
3.50867e-5 5.71680e+2
4.18183e-5 5.98009e+2
4.98415e-5 6.16695e+2
5.94039e-5 6.34058e+2
7.08009e-5 6.51422e+2
8.43846e-5 6.64257e+2
1.00574e-4 6.68758e+2
1.19870e-4 6.75314e+2
1.42868e-4 7.02715e+2
1.70278e-4 7.58617e+2
2.02947e-4 8.52196e+2
2.41884e-4 9.46603e+2
2.88291e-4 9.98407e+2
3.43602e-4 1.01427e+3
4.09524e-4 9.94668e+2
4.88094e-4 9.64530e+2
5.81739e-4 9.32501e+2
6.93349e-4 8.93454e+2
8.26373e-4 8.59905e+2
9.84918e-4 8.26995e+2
1.17388e-3 7.89399e+2
1.39910e-3 7.51253e+2
1.66753e-3 7.23043e+2
1.98745e-3 6.95893e+2
2.36876e-3 6.70769e+2
2.82322e-3 6.49957e+2
3.36487e-3 6.43647e+2
4.01045e-3 6.46551e+2
4.77988e-3 6.51911e+2
5.69693e-3 6.69260e+2
6.78993e-3 6.81423e+2
8.02831e-3 7.11952e+2
