# Effective area of eASTROGRAM [arXiv:2010.04797]

nb_lines = 44

E(GeV)	   A_eff(cm^2)
3.22610e-4 5.23942e+2
3.89004e-4 4.99045e+2
4.69062e-4 4.54868e+2
5.65597e-4 4.18110e+2
6.81998e-4 3.83604e+2
8.22355e-4 3.43160e+2
9.91598e-4 2.95696e+2
1.19567e-3 2.56233e+2
1.44174e-3 2.13675e+2
1.69465e-3 1.69182e+2
1.90898e-3 1.32758e+2
2.20601e-3 1.13578e+2
2.66001e-3 1.10950e+2
3.20744e-3 1.08994e+2
3.86754e-3 1.06035e+2
4.82491e-3 1.03815e+2
5.81788e-3 1.18687e+2
7.01522e-3 1.43075e+2
8.45897e-3 1.73233e+2
9.89740e-3 2.07611e+2
1.21534e-2 2.67403e+2
1.43137e-2 3.13711e+2
1.71376e-2 4.26692e+2
2.04895e-2 5.28870e+2
2.47063e-2 6.57177e+2
2.97910e-2 8.06732e+2
3.59220e-2 9.32724e+2
4.33149e-2 1.06435e+3
5.22292e-2 1.18979e+3
6.29781e-2 1.21342e+3
7.59391e-2 1.23288e+3
8.92604e-2 1.25560e+3
1.12307e-1 1.26772e+3
1.35420e-1 1.29318e+3
1.63290e-1 1.31270e+3
1.96895e-1 1.32505e+3
2.37417e-1 1.33626e+3
2.86278e-1 1.34757e+3
3.45195e-1 1.38077e+3
4.16237e-1 1.41745e+3
5.01899e-1 1.45646e+3
6.05191e-1 1.49095e+3
7.29741e-1 1.51913e+3
8.79924e-1 1.54785e+3
