         energy       spectrum
   1.00000e-005   9.88431e+037
   1.11711e-005   1.03628e+038
   1.24794e-005   1.09660e+038
   1.39408e-005   1.16303e+038
   1.55734e-005   1.23972e+038
   1.73973e-005   1.29472e+038
   1.94347e-005   1.36812e+038
   2.17107e-005   1.44847e+038
   2.42532e-005   1.53174e+038
   2.70935e-005   1.63446e+038
   3.02665e-005   1.70562e+038
   3.38110e-005   1.80895e+038
   3.77706e-005   1.91373e+038
   4.21940e-005   2.01820e+038
   4.71353e-005   2.13988e+038
   5.26554e-005   2.25035e+038
   5.88219e-005   2.38564e+038
   6.57106e-005   2.52845e+038
   7.34060e-005   2.64901e+038
   8.20026e-005   2.81688e+038
   9.16060e-005   2.96044e+038
   1.02334e-004   3.11649e+038
   1.14318e-004   3.28993e+038
   1.27706e-004   3.44567e+038
   1.42662e-004   3.63588e+038
   1.59369e-004   3.80332e+038
   1.78033e-004   3.95666e+038
   1.98883e-004   4.14535e+038
   2.22174e-004   4.28364e+038
   2.48193e-004   4.42190e+038
   2.77259e-004   4.50146e+038
   3.09729e-004   4.52749e+038
   3.46002e-004   4.54684e+038
   3.86522e-004   4.41986e+038
   4.31788e-004   4.17938e+038
   4.82355e-004   3.78489e+038
   5.38844e-004   3.21199e+038
   6.01948e-004   2.50066e+038
   6.72443e-004   1.66154e+038
   7.51193e-004   9.21521e+037
   8.39166e-004   4.32201e+037
   9.37441e-004   1.79340e+037
   1.04723e-003   7.29753e+036
   1.16987e-003   2.82811e+036
   1.30687e-003   9.33319e+035
   1.45992e-003   2.36897e+035
   1.63089e-003   5.35237e+034
   1.82189e-003   1.09530e+034
   2.03525e-003   1.55022e+033
   2.27360e-003   2.03520e+032
   2.53986e-003   1.83446e+031
   2.83730e-003   1.33025e+030
   3.16958e-003   6.67935e+028
   3.54077e-003   2.18385e+027
   3.95544e-003   5.82449e+025
   4.41866e-003   7.95158e+023
   4.93613e-003   7.55952e+021
   5.51421e-003   3.73304e+019
   6.15998e-003   8.18249e+016
   6.88138e-003   1.77626e+014
   7.68726e-003   8.45481e+010
   8.58752e-003   4.60959e+007
   9.59321e-003   3.77123e+003
   1.07167e-002   2.28997e-001
   1.19717e-002   3.18230e-006
   1.33737e-002   4.38234e-012
   1.49399e-002   1.50625e-017
   1.66896e-002   7.98613e-025
   1.86441e-002   1.07172e-031
   2.08275e-002   1.41406e-040
   2.32666e-002   1.76294e-049
   2.59914e-002   3.78805e-060
   2.90353e-002   4.68390e-073
   3.24356e-002   1.84011e-084
   3.62342e-002   2.23605e-100
   4.04776e-002   9.86474e-115
   4.52179e-002   2.13924e-134
   5.05134e-002   4.65932e-157
   5.64291e-002   1.49983e-176
   6.30375e-002   1.12892e-204
   7.04199e-002   5.85381e-229
   7.86668e-002   9.06025e-264
   8.78795e-002   0.00000e+000
   9.81712e-002   0.00000e+000
   1.09668e-001   0.00000e+000
   1.22511e-001   0.00000e+000
   1.36859e-001   0.00000e+000
   1.52886e-001   0.00000e+000
   1.70791e-001   0.00000e+000
   1.90792e-001   0.00000e+000
   2.13136e-001   0.00000e+000
   2.38097e-001   0.00000e+000
   2.65980e-001   0.00000e+000
   2.97130e-001   0.00000e+000
   3.31927e-001   0.00000e+000
   3.70799e-001   0.00000e+000
   4.14223e-001   0.00000e+000
   4.62733e-001   0.00000e+000
   5.16924e-001   0.00000e+000
   5.77462e-001   0.00000e+000
   6.45088e-001   0.00000e+000
   7.20635e-001   0.00000e+000
   8.05029e-001   0.00000e+000
   8.99307e-001   0.00000e+000
   1.00463e+000   0.00000e+000
   1.12228e+000   0.00000e+000
   1.25371e+000   0.00000e+000
   1.40053e+000   0.00000e+000
   1.56455e+000   0.00000e+000
   1.74777e+000   0.00000e+000
   1.95246e+000   0.00000e+000
   2.18111e+000   0.00000e+000
   2.43654e+000   0.00000e+000
   2.72188e+000   0.00000e+000
   3.04065e+000   0.00000e+000
   3.39674e+000   0.00000e+000
   3.79453e+000   0.00000e+000
   4.23891e+000   0.00000e+000
   4.73533e+000   0.00000e+000
   5.28989e+000   0.00000e+000
   5.90940e+000   0.00000e+000
   6.60145e+000   0.00000e+000
   7.37455e+000   0.00000e+000
   8.23819e+000   0.00000e+000
