   epsilon/fits             a1             b1          limit
    0.00000e+00    2.00000e+00   -2.94580e-01    9.99055e-01
    1.00000e-01    2.00005e+00   -3.05400e-01    9.85655e-01
    1.25893e-01    2.00005e+00   -3.10403e-01    9.78040e-01
    1.58489e-01    2.00005e+00   -3.18286e-01    9.66281e-01
    1.99526e-01    2.00005e+00   -3.30620e-01    9.48330e-01
    2.51189e-01    2.00005e+00   -3.49814e-01    9.21245e-01
    3.16228e-01    2.00005e+00   -3.79411e-01    8.81061e-01
    3.98107e-01    2.00005e+00   -4.24319e-01    8.24781e-01
    5.01187e-01    2.00005e+00   -4.91055e-01    7.48057e-01
    6.30957e-01    2.00005e+00   -5.87296e-01    6.52617e-01
    7.94328e-01    2.00004e+00   -7.20827e-01    5.44519e-01
