         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000
   1.00000e-003   1.97060e+000  -3.72962e+000  -4.80783e+000  -1.51407e+000  -1.80838e-002  -6.59479e-002   5.45877e+000
   1.93070e-003   1.96744e+000  -3.45019e+000  -4.80772e+000  -1.22859e+000  -1.81416e-002  -6.59727e-002   5.45809e+000
   3.72759e-003   1.96568e+000  -3.16767e+000  -4.80730e+000  -9.43487e-001  -1.81752e-002  -6.59522e-002   5.45767e+000
   7.19686e-003   1.96423e+000  -2.88453e+000  -4.80573e+000  -6.59945e-001  -1.81616e-002  -6.58256e-002   5.45733e+000
   1.38950e-002   1.96212e+000  -2.60224e+000  -4.79991e+000  -3.82214e-001  -1.80920e-002  -6.52936e-002   5.45669e+000
   2.68270e-002   1.95340e+000  -2.32980e+000  -4.77879e+000  -1.25235e-001  -1.77958e-002  -6.34324e-002   5.45475e+000
   5.17947e-002   1.93831e+000  -2.06591e+000  -4.70671e+000   6.52598e-002  -1.66455e-002  -5.77961e-002   5.44976e+000
   1.00000e-001   1.91526e+000  -1.81135e+000  -4.49456e+000   9.26112e-002  -1.18093e-002  -4.59107e-002   5.45989e+000
   1.36364e-001   1.88042e+000  -1.71679e+000  -4.29666e+000   1.65619e-002  -6.16402e-003  -3.88950e-002   5.50241e+000
   1.72727e-001   1.82157e+000  -1.68103e+000  -4.09162e+000  -8.02705e-002  -1.25176e-003  -3.39087e-002   5.54378e+000
   2.09091e-001   1.77907e+000  -1.64311e+000  -3.88738e+000  -1.78134e-001   5.97793e-004  -3.01260e-002   5.52482e+000
   2.45455e-001   1.73143e+000  -1.62155e+000  -3.68659e+000  -2.71897e-001   2.88869e-004  -2.77334e-002   5.45212e+000
   2.81818e-001   1.68035e+000  -1.60996e+000  -3.48802e+000  -3.65332e-001   3.10533e-003  -2.47691e-002   5.47113e+000
   3.18182e-001   1.62671e+000  -1.60442e+000  -3.29199e+000  -4.58745e-001   1.05217e-002  -1.95196e-002   5.66927e+000
   3.54545e-001   1.62911e+000  -1.55858e+000  -3.10153e+000  -5.46184e-001   1.49147e-002  -1.55664e-002   5.79146e+000
   3.90909e-001   1.56618e+000  -1.56844e+000  -2.91895e+000  -6.23067e-001   1.20162e-002  -1.60816e-002   5.67822e+000
   4.27273e-001   1.46827e+000  -1.60482e+000  -2.74224e+000  -6.94112e-001   5.10748e-003  -1.89385e-002   5.43499e+000
   4.63636e-001   1.46332e+000  -1.57832e+000  -2.56556e+000  -7.72336e-001   4.54166e-004  -1.60547e-002   5.35464e+000
   5.00000e-001   1.45544e+000  -1.55684e+000  -2.38811e+000  -8.59522e-001   5.47306e-003  -8.90470e-003   8.53944e+000
   5.36364e-001   1.26073e+000  -1.66382e+000  -2.21716e+000  -9.39626e-001   1.74585e-002  -7.99398e-003   8.49395e+000
   5.72727e-001   1.25610e+000  -1.64542e+000  -2.05659e+000  -1.00379e+000   2.18050e-002  -7.07174e-003   8.26409e+000
   6.09091e-001   2.89699e+000  -3.13089e-001  -1.89652e+000  -1.07351e+000   2.99041e-002  -1.03158e-002   8.03824e+000
   6.45455e-001   2.53579e+000  -7.33308e-001  -1.72846e+000  -1.16770e+000   2.76895e-002  -1.62401e-002   7.73053e+000
   6.81818e-001   2.37794e+000  -8.91913e-001  -1.56200e+000  -1.26446e+000   4.85252e-002   6.03258e-002   8.82274e+000
   7.18182e-001   2.28560e+000  -9.79060e-001  -1.41246e+000  -1.32883e+000   6.50652e-002   5.52404e-002   8.50368e+000
   7.54545e-001   2.22277e+000  -1.13769e+000  -1.26057e+000  -1.40023e+000   8.23476e-002   4.05897e-002   8.16100e+000
   7.90909e-001   2.17458e+000  -1.24971e+000  -1.08706e+000  -1.52068e+000   1.22233e-001   1.65153e-002   7.49041e+000
   8.27273e-001   2.13331e+000  -1.37015e+000  -9.06654e-001  -1.70687e+000  -3.37966e-001  -1.38947e-002   9.28805e+000
   8.63636e-001   2.16708e+000  -1.06813e+000  -7.17887e-001  -1.94123e+000  -4.45452e-001  -7.61366e-002   8.94588e+000
   9.00000e-001   2.14303e+000  -1.22738e+000  -5.34463e-001  -2.25299e+000  -5.14559e-001  -2.52786e-001   8.64600e+000
   9.30481e-001   2.11847e+000  -1.29359e+000  -4.88303e-001  -2.27796e+000  -6.73488e-001  -1.51642e-001   8.22137e+000
   9.51671e-001   2.09424e+000  -1.34113e+000  -4.33798e-001  -2.32711e+000  -7.21595e-001  -8.90562e-002   7.93807e+000
