   epsilon/fits             a1             b1          limit
    0.00000e+00    4.00005e+00    1.25224e-01    9.96809e-01
    1.00000e-01    4.00005e+00    1.10096e-01    9.83838e-01
    1.25893e-01    4.00005e+00    1.01296e-01    9.76383e-01
    1.58489e-01    4.00005e+00    8.75475e-02    9.64752e-01
    1.99526e-01    4.00005e+00    6.59489e-02    9.46720e-01
    2.51189e-01    4.00005e+00    3.24059e-02    9.19352e-01
    3.16228e-01    4.00005e+00   -1.91437e-02    8.79286e-01
    3.98107e-01    4.00005e+00   -9.71654e-02    8.21685e-01
    5.01187e-01    4.00005e+00   -2.12476e-01    7.44974e-01
    6.30957e-01    4.00005e+00   -3.77570e-01    6.49882e-01
    7.94328e-01    4.00004e+00   -6.04168e-01    5.40872e-01
