   epsilon/fits             a1             b1          limit
    0.00000e+00    4.00005e+00    1.25224e-01    9.96809e-01
    1.00000e-01    4.00005e+00    1.13664e-01    9.88593e-01
    1.25893e-01    4.00005e+00    1.04925e-01    9.81181e-01
    1.58489e-01    4.00005e+00    9.11838e-02    9.69621e-01
    1.99526e-01    4.00005e+00    6.97347e-02    9.51689e-01
    2.51189e-01    4.00005e+00    3.63879e-02    9.24406e-01
    3.16228e-01    4.00005e+00   -1.48912e-02    8.84457e-01
    3.98107e-01    4.00005e+00   -9.24398e-02    8.27244e-01
    5.01187e-01    4.00005e+00   -2.06989e-01    7.50545e-01
    6.30957e-01    4.00005e+00   -3.70758e-01    6.56411e-01
    7.94328e-01    4.00004e+00   -5.95127e-01    5.48002e-01
