         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000   0.00000e+000
   1.00000e-003   2.92352e+000  -3.79598e+000  -4.81428e+000  -1.48373e+000  -2.52986e-002  -5.94709e-002   5.43295e+000
   1.93070e-003   2.92697e+000  -3.50616e+000  -4.81414e+000  -1.19832e+000  -2.52723e-002  -5.94791e-002   5.43308e+000
   3.72759e-003   2.92937e+000  -3.21816e+000  -4.81370e+000  -9.13244e-001  -2.52493e-002  -5.94550e-002   5.43312e+000
   7.19686e-003   2.93223e+000  -2.92849e+000  -4.81210e+000  -6.29751e-001  -2.52117e-002  -5.93186e-002   5.43312e+000
   1.38950e-002   2.93287e+000  -2.64212e+000  -4.80623e+000  -3.52056e-001  -2.50972e-002  -5.87893e-002   5.43311e+000
   2.68270e-002   2.75964e+000  -2.62206e+000  -4.78494e+000  -9.52014e-002  -2.46921e-002  -5.69421e-002   5.43304e+000
   5.17947e-002   2.27734e+000  -3.03230e+000  -4.71240e+000   9.51376e-002  -2.34986e-002  -5.13482e-002   5.43247e+000
   1.00000e-001   2.44932e+000  -2.36781e+000  -4.50033e+000   1.25357e-001  -2.16090e-002  -3.90379e-002   5.41778e+000
   1.36364e-001   2.68854e+000  -1.53632e+000  -4.30385e+000   5.51486e-002  -2.20896e-002  -3.05711e-002   5.36794e+000
   1.72727e-001   2.77509e+000  -1.30567e+000  -4.09944e+000  -3.73145e-002  -2.25580e-002  -2.41358e-002   5.32108e+000
   2.09091e-001   2.82145e+000  -1.16052e+000  -3.89307e+000  -1.36644e-001  -2.11865e-002  -2.05273e-002   5.34587e+000
   2.45455e-001   2.84720e+000  -1.06088e+000  -3.68894e+000  -2.34315e-001  -2.01156e-002  -1.94863e-002   5.41524e+000
   2.81818e-001   2.86741e+000  -9.76488e-001  -3.49037e+000  -3.24064e-001  -2.16701e-002  -1.79062e-002   5.41060e+000
   3.18182e-001   2.87953e+000  -9.10454e-001  -3.29882e+000  -4.03478e-001  -2.51893e-002  -1.35050e-002   5.28581e+000
   3.54545e-001   2.88955e+000  -8.51955e-001  -3.11213e+000  -4.77817e-001  -2.83778e-002  -9.23600e-003   5.16254e+000
   3.90909e-001   2.89751e+000  -8.00570e-001  -2.92676e+000  -5.55071e-001  -2.67043e-002  -1.06815e-002   5.23762e+000
   4.27273e-001   2.90722e+000  -7.49813e-001  -2.74461e+000  -6.31138e-001  -2.32449e-002  -1.96099e-002   5.49780e+000
   4.63636e-001   2.90670e+000  -7.17204e-001  -2.57065e+000  -6.94968e-001  -2.33799e-002  -2.17290e-002   5.49865e+000
   5.00000e-001   2.91166e+000  -6.77965e-001  -2.40639e+000  -7.42913e-001  -8.61338e-003   3.87175e-002   8.64675e+000
   5.36364e-001   2.91419e+000  -6.44230e-001  -2.24434e+000  -7.90828e-001  -6.69913e-003   4.14536e-002   8.43988e+000
   5.72727e-001   2.91588e+000  -6.12887e-001  -2.07939e+000  -8.49440e-001  -1.59085e-003   3.58664e-002   8.16382e+000
   6.09091e-001   2.91445e+000  -5.88716e-001  -1.91886e+000  -9.02181e-001   1.49921e-002   4.01597e-002   7.62268e+000
   6.45455e-001   2.92228e+000  -5.50919e-001  -1.77308e+000  -9.25630e-001  -6.57422e-002  -3.17613e-002   9.15282e+000
   6.81818e-001   2.92063e+000  -5.28434e-001  -1.63103e+000  -9.42920e-001  -8.02028e-002  -2.04247e-002   8.78635e+000
   7.18182e-001   2.92477e+000  -4.97330e-001  -1.47887e+000  -9.83560e-001  -8.49983e-002  -1.23898e-002   8.48862e+000
   7.54545e-001   2.92888e+000  -4.67478e-001  -1.32885e+000  -1.01803e+000  -9.72079e-002   1.86278e-002   8.00784e+000
   7.90909e-001   2.92648e+000  -4.48551e-001  -1.19974e+000  -1.00508e+000   2.82816e-001   1.05972e-001   9.83312e+000
