   epsilon/fits             a1             b1          limit
    0.00000e+00    2.00000e+00   -2.94580e-01    9.99055e-01
    1.00000e-01    2.00005e+00   -3.05397e-01    9.90548e-01
    1.25893e-01    2.00005e+00   -3.10404e-01    9.82930e-01
    1.58489e-01    2.00005e+00   -3.18279e-01    9.71175e-01
    1.99526e-01    2.00005e+00   -3.30618e-01    9.53252e-01
    2.51189e-01    2.00005e+00   -3.49811e-01    9.26261e-01
    3.16228e-01    2.00005e+00   -3.79393e-01    8.86257e-01
    3.98107e-01    2.00005e+00   -4.24310e-01    8.30052e-01
    5.01187e-01    2.00005e+00   -4.91061e-01    7.54056e-01
    6.30957e-01    2.00005e+00   -5.87303e-01    6.58750e-01
    7.94328e-01    2.00004e+00   -7.20818e-01    5.51652e-01
