   epsilon/fits             a1             b1          limit
    0.00000e+00    2.00000e+00   -2.94580e-01    9.99055e-01
    1.00000e+00    2.00004e+00   -8.97591e-01    4.34747e-01
    1.58489e+00    2.00003e+00   -1.38544e+00    2.53654e-01
    2.51189e+00    2.00003e+00   -2.02034e+00    1.48423e-01
    3.98107e+00    2.00003e+00   -2.74328e+00    9.69616e-02
    6.30957e+00    2.00003e+00   -3.50875e+00    7.80211e-02
    1.00000e+01    2.00003e+00   -4.29226e+00    7.02889e-02
    1.58489e+01    2.00003e+00   -5.08303e+00    6.63678e-02
    2.51189e+01    2.00003e+00   -5.87611e+00    6.45846e-02
    3.98107e+01    2.00003e+00   -6.66956e+00    6.38312e-02
    6.30957e+01    2.00003e+00   -7.46243e+00    6.35270e-02
    1.00000e+02    2.00003e+00   -8.25417e+00    6.34028e-02
