   epsilon/fits             a1             b1          limit
    0.00000e+00    2.00000e+00    6.05418e-01    1.00028e+00
    1.00000e-01    2.00005e+00    5.98033e-01    9.87305e-01
    1.25893e-01    2.00005e+00    5.95535e-01    9.79830e-01
    1.58489e-01    2.00005e+00    5.91603e-01    9.68192e-01
    1.99526e-01    2.00005e+00    5.85473e-01    9.50127e-01
    2.51189e-01    2.00005e+00    5.75976e-01    9.22715e-01
    3.16228e-01    2.00005e+00    5.61434e-01    8.82625e-01
    3.98107e-01    2.00005e+00    5.39616e-01    8.25078e-01
    5.01187e-01    2.00005e+00    5.07726e-01    7.48943e-01
    6.30957e-01    2.00005e+00    4.62860e-01    6.53523e-01
    7.94328e-01    2.00004e+00    4.02809e-01    5.45194e-01
