   epsilon/fits             a1             b1          limit
    0.00000e+00    2.00000e+00    6.05418e-01    1.00028e+00
    1.00000e+00    2.00004e+00    3.27207e-01    4.34648e-01
    1.58489e+00    2.00003e+00    1.40995e-01    2.53055e-01
    2.51189e+00    2.00003e+00   -5.51638e-02    1.50108e-01
    3.98107e+00    2.00003e+00   -2.23148e-01    1.03830e-01
    6.30957e+00    2.00003e+00   -3.49258e-01    7.94992e-02
    1.00000e+01    2.00003e+00   -4.37122e-01    6.86933e-02
    1.58489e+01    2.00003e+00   -4.95780e-01    6.50908e-02
    2.51189e+01    2.00003e+00   -5.34139e-01    6.37456e-02
    3.98107e+01    2.00003e+00   -5.58791e-01    6.32135e-02
    6.30957e+01    2.00003e+00   -5.74595e-01    6.30027e-02
    1.00000e+02    2.00003e+00   -5.84536e-01    6.29184e-02
