   epsilon/fits             a1             b1          limit
    0.00000e+00    6.00028e+00   -1.04978e+00    9.86467e-01
    1.00000e-01    6.00028e+00   -1.06728e+00    9.78290e-01
    1.25893e-01    6.00028e+00   -1.07998e+00    9.70877e-01
    1.58489e-01    6.00028e+00   -1.09995e+00    9.59351e-01
    1.99526e-01    6.00028e+00   -1.13111e+00    9.41508e-01
    2.51189e-01    6.00028e+00   -1.17955e+00    9.14410e-01
    3.16228e-01    6.00028e+00   -1.25403e+00    8.74774e-01
    3.98107e-01    6.00028e+00   -1.36664e+00    8.18223e-01
    5.01187e-01    6.00027e+00   -1.53289e+00    7.40306e-01
    6.30957e-01    6.00027e+00   -1.77046e+00    6.47428e-01
    7.94328e-01    6.00027e+00   -2.09572e+00    5.38480e-01
