         Q/fits             a1             b1          limit
    0.00000e+00    2.00000e+00   -2.94580e-01    9.99055e-01
    1.00000e-02    2.00005e+00   -2.99336e-01    9.99021e-01
    1.39997e-01    2.00005e+00   -3.07863e-01    9.92371e-01
    2.52925e-01    2.00005e+00   -3.27969e-01    9.77256e-01
    3.51024e-01    2.00005e+00   -3.56351e-01    9.57052e-01
    4.36241e-01    2.00005e+00   -3.90895e-01    9.33955e-01
    5.10268e-01    2.00005e+00   -4.30153e-01    9.09312e-01
    5.74575e-01    2.00005e+00   -4.73172e-01    8.84108e-01
    6.30438e-01    2.00005e+00   -5.19113e-01    8.59295e-01
    6.78965e-01    2.00005e+00   -5.67488e-01    8.35729e-01
    7.21121e-01    2.00005e+00   -6.17801e-01    8.13609e-01
    7.57740e-01    2.00005e+00   -6.69746e-01    7.92571e-01
    7.89552e-01    2.00005e+00   -7.23052e-01    7.72415e-01
    8.17186e-01    2.00005e+00   -7.77479e-01    7.53289e-01
    8.41191e-01    2.00005e+00   -8.32867e-01    7.35472e-01
    8.62044e-01    2.00005e+00   -8.89051e-01    7.19264e-01
    8.80159e-01    2.00005e+00   -9.45930e-01    7.04844e-01
    8.95896e-01    2.00005e+00   -1.00339e+00    6.92134e-01
    9.09566e-01    2.00005e+00   -1.06134e+00    6.80908e-01
    9.21441e-01    2.00005e+00   -1.11972e+00    6.70919e-01
    9.31756e-01    2.00005e+00   -1.17848e+00    6.61997e-01
    9.40717e-01    2.00005e+00   -1.23753e+00    6.53990e-01
    9.48502e-01    2.00005e+00   -1.29686e+00    6.46817e-01
    9.55264e-01    2.00005e+00   -1.35641e+00    6.40397e-01
    9.61138e-01    2.00005e+00   -1.41615e+00    6.34656e-01
    9.66241e-01    2.00005e+00   -1.47603e+00    6.29539e-01
    9.70674e-01    2.00005e+00   -1.53619e+00    6.24994e-01
    9.74525e-01    2.00005e+00   -1.59640e+00    6.20951e-01
    9.77870e-01    2.00005e+00   -1.65667e+00    6.17387e-01
    9.80776e-01    2.00005e+00   -1.71703e+00    6.14233e-01
    9.83300e-01    2.00005e+00   -1.77761e+00    6.11459e-01
    9.85493e-01    2.00005e+00   -1.83817e+00    6.09021e-01
    9.87398e-01    2.00005e+00   -1.89880e+00    6.06879e-01
    9.89053e-01    2.00005e+00   -1.95948e+00    6.05003e-01
    9.90490e-01    2.00005e+00   -2.02020e+00    6.03362e-01
    9.91739e-01    2.00005e+00   -2.08093e+00    6.01924e-01
    9.92824e-01    2.00005e+00   -2.14175e+00    6.00668e-01
    9.93766e-01    2.00005e+00   -2.20251e+00    5.99583e-01
    9.94585e-01    2.00005e+00   -2.26342e+00    5.98625e-01
    9.95296e-01    2.00005e+00   -2.32427e+00    5.97790e-01
    9.95913e-01    2.00005e+00   -2.38514e+00    5.97067e-01
    9.96450e-01    2.00005e+00   -2.44604e+00    5.96436e-01
    9.96916e-01    2.00005e+00   -2.50690e+00    5.95896e-01
    9.97321e-01    2.00005e+00   -2.56781e+00    5.95408e-01
    9.97673e-01    2.00005e+00   -2.62858e+00    5.94993e-01
    9.97978e-01    2.00005e+00   -2.68966e+00    5.94629e-01
    9.98244e-01    2.00005e+00   -2.75067e+00    5.94311e-01
    9.98475e-01    2.00005e+00   -2.81160e+00    5.94035e-01
    9.98675e-01    2.00005e+00   -2.87253e+00    5.93802e-01
    9.98849e-01    2.00005e+00   -2.93344e+00    5.93594e-01
    9.99000e-01    2.00005e+00   -2.99440e+00    5.93414e-01
