         Q/fits             a1             b1          limit
    0.00000e+00    4.00005e+00    1.25224e-01    9.96809e-01
    1.00000e-02    4.00005e+00    1.25178e-01    9.96737e-01
    1.39997e-01    4.00005e+00    1.12371e-01    9.90345e-01
    2.52925e-01    4.00005e+00    8.23001e-02    9.75597e-01
    3.51024e-01    4.00005e+00    4.00422e-02    9.55480e-01
    4.36241e-01    4.00005e+00   -1.10881e-02    9.32120e-01
    5.10268e-01    4.00005e+00   -6.87765e-02    9.07288e-01
    5.74575e-01    4.00005e+00   -1.31458e-01    8.82202e-01
    6.30438e-01    4.00005e+00   -1.97818e-01    8.57334e-01
    6.78965e-01    4.00005e+00   -2.67052e-01    8.32934e-01
    7.21121e-01    4.00005e+00   -3.38372e-01    8.09418e-01
    7.57740e-01    4.00005e+00   -4.11255e-01    7.87348e-01
    7.89552e-01    4.00005e+00   -4.85284e-01    7.67239e-01
    8.17186e-01    4.00005e+00   -5.60076e-01    7.49256e-01
    8.41191e-01    4.00005e+00   -6.35367e-01    7.33045e-01
    8.62044e-01    4.00005e+00   -7.10924e-01    7.18196e-01
    8.80159e-01    4.00005e+00   -7.86605e-01    7.04453e-01
    8.95896e-01    4.00005e+00   -8.62217e-01    6.91704e-01
    9.09566e-01    4.00005e+00   -9.37663e-01    6.79919e-01
    9.21441e-01    4.00005e+00   -1.01286e+00    6.69109e-01
    9.31756e-01    4.00005e+00   -1.08772e+00    6.59319e-01
    9.40717e-01    4.00005e+00   -1.16223e+00    6.50550e-01
    9.48502e-01    4.00005e+00   -1.23626e+00    6.42774e-01
    9.55264e-01    4.00005e+00   -1.30987e+00    6.35923e-01
    9.61138e-01    4.00005e+00   -1.38299e+00    6.29903e-01
    9.66241e-01    4.00005e+00   -1.45558e+00    6.24624e-01
    9.70674e-01    4.00005e+00   -1.52775e+00    6.19991e-01
    9.74525e-01    4.00005e+00   -1.59942e+00    6.15922e-01
    9.77870e-01    4.00005e+00   -1.67055e+00    6.12352e-01
    9.80776e-01    4.00005e+00   -1.74123e+00    6.09219e-01
    9.83300e-01    4.00005e+00   -1.81141e+00    6.06468e-01
    9.85493e-01    4.00005e+00   -1.88110e+00    6.04059e-01
    9.87398e-01    4.00005e+00   -1.95039e+00    6.01945e-01
    9.89053e-01    4.00005e+00   -2.01918e+00    6.00095e-01
    9.90490e-01    4.00005e+00   -2.08758e+00    5.98479e-01
    9.91739e-01    4.00005e+00   -2.15562e+00    5.97058e-01
    9.92824e-01    4.00005e+00   -2.22319e+00    5.95823e-01
    9.93766e-01    4.00005e+00   -2.29036e+00    5.94746e-01
    9.94585e-01    4.00005e+00   -2.35727e+00    5.93801e-01
    9.95296e-01    4.00005e+00   -2.42380e+00    5.92978e-01
    9.95913e-01    4.00005e+00   -2.48979e+00    5.92264e-01
    9.96450e-01    4.00005e+00   -2.55592e+00    5.91638e-01
    9.96916e-01    4.00005e+00   -2.62153e+00    5.91107e-01
    9.97321e-01    4.00005e+00   -2.68653e+00    5.90622e-01
    9.97673e-01    4.00005e+00   -2.75188e+00    5.90208e-01
    9.97978e-01    4.00005e+00   -2.81675e+00    5.89849e-01
    9.98244e-01    4.00005e+00   -2.88141e+00    5.89534e-01
    9.98475e-01    4.00005e+00   -2.94573e+00    5.89263e-01
    9.98675e-01    4.00005e+00   -3.00991e+00    5.89028e-01
    9.98849e-01    4.00005e+00   -3.07385e+00    5.88824e-01
    9.99000e-01    4.00005e+00   -3.13759e+00    5.88646e-01
