 initial_energy   final_energy         photon         gluons          higgs            Wpm             Z0       electron           muon            tau             up           down          charm        strange            top         bottom
    2.50000e+01    1.00000e-06    0.00000e+00    0.00000e+00    1.50000e-04    0.00000e+00    0.00000e+00    1.17000e-03    1.07500e-03    1.13000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.29155e-06    0.00000e+00    0.00000e+00    2.10000e-04    0.00000e+00    0.00000e+00    1.30000e-03    1.48000e-03    1.45500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.66810e-06    0.00000e+00    0.00000e+00    3.30000e-04    0.00000e+00    0.00000e+00    1.76000e-03    1.76000e-03    1.71000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.15443e-06    0.00000e+00    0.00000e+00    4.50000e-04    0.00000e+00    0.00000e+00    2.00000e-03    2.30000e-03    2.02500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.78256e-06    0.00000e+00    0.00000e+00    3.90000e-04    0.00000e+00    0.00000e+00    2.34500e-03    2.33500e-03    2.18500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    3.59381e-06    0.00000e+00    0.00000e+00    5.70000e-04    0.00000e+00    0.00000e+00    2.75500e-03    2.66000e-03    2.22500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    4.64159e-06    0.00000e+00    0.00000e+00    4.70000e-04    0.00000e+00    0.00000e+00    2.98500e-03    3.01000e-03    2.40500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    5.99484e-06    0.00000e+00    0.00000e+00    5.90000e-04    0.00000e+00    0.00000e+00    3.28500e-03    3.46000e-03    2.46000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    7.74264e-06    0.00000e+00    0.00000e+00    5.20000e-04    0.00000e+00    0.00000e+00    3.56000e-03    3.80500e-03    2.48000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.00000e-05    0.00000e+00    0.00000e+00    5.40000e-04    0.00000e+00    0.00000e+00    3.94000e-03    3.96000e-03    2.47500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.29155e-05    0.00000e+00    0.00000e+00    5.10000e-04    0.00000e+00    0.00000e+00    4.27000e-03    4.17500e-03    2.55500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.66810e-05    0.00000e+00    0.00000e+00    4.90000e-04    0.00000e+00    0.00000e+00    4.75000e-03    4.51500e-03    2.42500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.15443e-05    0.00000e+00    0.00000e+00    6.30000e-04    0.00000e+00    0.00000e+00    4.94000e-03    4.92000e-03    2.52000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.78256e-05    0.00000e+00    0.00000e+00    5.20000e-04    0.00000e+00    0.00000e+00    5.24000e-03    4.94000e-03    2.49500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    3.59381e-05    0.00000e+00    0.00000e+00    5.60000e-04    0.00000e+00    0.00000e+00    5.37000e-03    5.39500e-03    2.58000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    4.64159e-05    0.00000e+00    0.00000e+00    6.20000e-04    0.00000e+00    0.00000e+00    5.70500e-03    5.43500e-03    2.49000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    5.99484e-05    0.00000e+00    0.00000e+00    5.20000e-04    0.00000e+00    0.00000e+00    6.36500e-03    5.47500e-03    2.53000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    7.74264e-05    0.00000e+00    0.00000e+00    7.60000e-04    0.00000e+00    0.00000e+00    6.34000e-03    5.93000e-03    2.48500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.00000e-04    0.00000e+00    0.00000e+00    6.40000e-04    0.00000e+00    0.00000e+00    6.47500e-03    5.64000e-03    2.42000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.29155e-04    0.00000e+00    0.00000e+00    3.60000e-04    0.00000e+00    0.00000e+00    6.95000e-03    5.86500e-03    2.63500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    1.66810e-04    0.00000e+00    0.00000e+00    4.90000e-04    0.00000e+00    0.00000e+00    7.37500e-03    5.77000e-03    2.49500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.15443e-04    0.00000e+00    0.00000e+00    5.90000e-04    0.00000e+00    0.00000e+00    7.48500e-03    5.93000e-03    2.48500e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    2.50000e+01    2.78256e-04    0.00000e+00    0.00000e+00    5.50000e-04    0.00000e+00    0.00000e+00    7.58000e-03    5.91500e-03    2.57000e-03    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
